[DEBUG] 2021-02-21 14:27:28.107 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-02-21 14:27:28.126 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-02-21 14:27:28.142 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-02-21 14:27:28.426 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-02-21 14:27:28.437 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-02-21 14:27:29.020 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-02-21 14:27:29.021 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-02-21 14:27:29.040 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-02-21 14:27:30.053 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-02-21 14:27:30.106 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-02-21 14:27:30.111 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-02-21 14:27:30.140 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-02-21 14:27:30.229 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2d0bfb24
[DEBUG] 2021-02-21 14:27:30.229 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2d0bfb24
[DEBUG] 2021-02-21 14:27:30.229 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2d0bfb24
[DEBUG] 2021-02-21 14:27:30.230 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@38499e48
[DEBUG] 2021-02-21 14:27:30.231 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6579c3d9
[DEBUG] 2021-02-21 14:27:30.235 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@693e4d19
[DEBUG] 2021-02-21 14:27:30.236 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5cbb84b1
[DEBUG] 2021-02-21 14:27:30.236 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5cbb84b1
[DEBUG] 2021-02-21 14:27:30.236 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5cbb84b1
[DEBUG] 2021-02-21 14:27:30.237 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@68e62ca4
[DEBUG] 2021-02-21 14:27:30.238 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@68e62ca4
[DEBUG] 2021-02-21 14:27:30.238 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@68e62ca4
[DEBUG] 2021-02-21 14:27:30.240 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2e52fb3e
[DEBUG] 2021-02-21 14:27:30.240 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2e52fb3e
[DEBUG] 2021-02-21 14:27:30.240 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2e52fb3e
[DEBUG] 2021-02-21 14:27:30.241 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@bd2f5a9
[DEBUG] 2021-02-21 14:27:30.241 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@bd2f5a9
[DEBUG] 2021-02-21 14:27:30.245 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@bd2f5a9
[DEBUG] 2021-02-21 14:27:30.246 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@47c64cfe
[DEBUG] 2021-02-21 14:27:30.246 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@47c64cfe
[DEBUG] 2021-02-21 14:27:30.247 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@47c64cfe
[DEBUG] 2021-02-21 14:27:30.248 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@34b9fc7d
[DEBUG] 2021-02-21 14:27:30.248 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@34b9fc7d
[DEBUG] 2021-02-21 14:27:30.248 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@34b9fc7d
[DEBUG] 2021-02-21 14:27:30.251 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@588ffeb
[DEBUG] 2021-02-21 14:27:30.252 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@588ffeb
[DEBUG] 2021-02-21 14:27:30.252 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@588ffeb
[DEBUG] 2021-02-21 14:27:30.253 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@34cf5a97
[DEBUG] 2021-02-21 14:27:30.253 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@34cf5a97
[DEBUG] 2021-02-21 14:27:30.254 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6443b128
[DEBUG] 2021-02-21 14:27:30.254 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6443b128
[DEBUG] 2021-02-21 14:27:30.255 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@61d01788
[DEBUG] 2021-02-21 14:27:30.255 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@61d01788
[DEBUG] 2021-02-21 14:27:30.258 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@69cac930
[DEBUG] 2021-02-21 14:27:30.263 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@55ea2d70
[DEBUG] 2021-02-21 14:27:30.264 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@67a056f1
[DEBUG] 2021-02-21 14:27:30.264 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@67a056f1
[DEBUG] 2021-02-21 14:27:30.265 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@7fedfe27
[DEBUG] 2021-02-21 14:27:30.265 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@7fedfe27
[DEBUG] 2021-02-21 14:27:30.269 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6090f3ca
[DEBUG] 2021-02-21 14:27:30.274 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6090f3ca
[DEBUG] 2021-02-21 14:27:30.275 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@5e3a39cd
[DEBUG] 2021-02-21 14:27:30.275 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@5e3a39cd
[DEBUG] 2021-02-21 14:27:30.276 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@54da32dc
[DEBUG] 2021-02-21 14:27:30.276 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@54da32dc
[DEBUG] 2021-02-21 14:27:30.279 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1917d90f
[DEBUG] 2021-02-21 14:27:30.280 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1917d90f
[DEBUG] 2021-02-21 14:27:30.287 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6edc4161
[DEBUG] 2021-02-21 14:27:30.287 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@6edc4161
[DEBUG] 2021-02-21 14:27:30.288 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@f973499
[DEBUG] 2021-02-21 14:27:30.289 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@f973499
[DEBUG] 2021-02-21 14:27:30.290 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@703feacd
[DEBUG] 2021-02-21 14:27:30.290 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@703feacd
[DEBUG] 2021-02-21 14:27:30.291 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@64f555e7
[DEBUG] 2021-02-21 14:27:30.291 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@64f555e7
[DEBUG] 2021-02-21 14:27:30.292 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@1ded7b14
[DEBUG] 2021-02-21 14:27:30.292 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@1ded7b14
